  42 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1170000 | 1993-04-01  | 44.9010119 |  -91.8578662 | 010100002031BF0D008CF2805CF48063C1B92E8DD18F625541 |     1 |
 127 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          |  750000 | 1999-02-01  |  34.826469 | -106.7686493 | 010100002031BF0D00594387F56EAB66C143BD4AF491964F41 |     1 |
  43 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Walmart first sought approval for this facility in 2002 and public resistance delayed the controversial approval which was finally received in Nov 2012.                                                                                                 | 1200000 |             | 37.2878972 | -120.4587013 | 010100002031BF0D00B76C4A298F9369C141BFDD1154165141 |     1 |
  44 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Owned and Operated. Originally constructed as a 390,000 sq ft. Walmart's first DC outside of Bentonville and 4th DC. Expanded by 142,000 sq ft in 1981 and again in 1990 and then converted into a Sams Collectables DC in 1994.                         |  682700 | 1978-07-01  | 35.2419411 |  -91.6957715 | 010100002031BF0D006BBCEBD2247863C1939D8F3172025041 |     1 |
  47 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility run by 3PL Vitran Logistics Inc.                                                                                                                                                                                                |   60000 |             | 34.0523652 | -117.6333516 | 010100002031BF0D0072069D99FCF968C1D825F8C77DCA4E41 |     1 |
  49 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          |  129665 | 2013-02-01  | 30.4573359 |  -81.4937993 | 010100002031BF0D00F454B5079D4D61C131B7274EF42D4B41 |     1 |
  50 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility run by 3PL SaddleCreek Logistics.                                                                                                                                                                                               |   66400 | 1991-01-01  |   28.07731 |   -81.896607 | 010100002031BF0D001492D812826361C1086B1028B2DC4841 |     1 |
  51 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility run by 3PL SaddleCreek Logistics.                                                                                                                                                                                               |   60000 | 1995-01-01  |  33.745812 |   -84.943812 | 010100002031BF0D00EA6DBBBC230962C13D2230D2307A4E41 |     1 |
  52 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility run by 3PL Vitran Logistics.                                                                                                                                                                                                    |   49200 | 2005-06-01  | 41.4365851 |  -87.7478031 | 010100002031BF0D005D5A4C188DA162C1FD08D52DF65D5341 |     1 |
  53 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Owned and Operated.                                                                                                                                                                                                                                      |   85200 |             |  39.811143 |   -85.776808 | 010100002031BF0D002D70D4D26A3662C1CF736BFB21755241 |     1 |
  54 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility run by Kane is Able.                                                                                                                                                                                                            |   40000 | 1994-01-01  | 39.7185119 |   -77.720146 | 010100002031BF0D00119877E27E8060C13F4C5B4708685241 |     1 |
  55 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility run by ASW Global, LLC.                                                                                                                                                                                                         |   60000 | 1992-01-01  |  42.206923 |  -83.2031302 | 010100002031BF0D003BBAC24286AA61C10CA3178556CE5341 |     1 |
  56 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Owned and Operated.                                                                                                                                                                                                                                      |  180300 | 1995-02-01  | 44.8066874 |  -93.3643991 | 010100002031BF0D00AD88B6ABD7D263C1AFAD9CE218545541 |     1 |
  57 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility formerly run by Wagner Industries up to May 2012.                                                                                                                                                                               |   81080 | 1988-01-01  |  39.093587 |   -94.675579 | 010100002031BF0D0039B7D5A71C1A64C10B17297F1B105241 |     1 |
  58 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility run by 3PL SaddleCreek Logistics.                                                                                                                                                                                               |   60000 | 2008-05-01  | 31.2655019 |  -89.2678535 | 010100002031BF0D00D3D3DD7F2CF462C1A9FBD1EAA6FA4B41 |     1 |
  59 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility run by 3PL Distribution Technology Inc.                                                                                                                                                                                         |   63400 | 1991-01-01  | 35.1285049 |   -80.931864 | 010100002031BF0D00E33676BC112F61C163321B18B7E64F41 |     1 |
  60 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility formerly run by PSI - Puget Sound International which went out of business in Sep, 2012.                                                                                                                                        |   26200 | 2005-01-01  | 43.0802842 |  -71.4536835 | 010100002031BF0D00F1C966EAC2575EC1CA3C98FA694F5441 |     1 |
  61 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility run by ASW Global, LLC.                                                                                                                                                                                                         |   75000 |             |  40.912008 |    -81.45725 | 010100002031BF0D0071EAEC72A04B61C12022EEE032125341 |     1 |
